rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/approx_kl,train/clip_range,train/entropy_loss,train/learning_rate,train/n_updates,train/loss,train/explained_variance,eval/mean_ep_length,eval/mean_reward
-87.99,8.69,352,17,197,69632,0.010721480233332841,2141.6746546936033,0.23925537109375,0.04232154,0.2,-3.009912132024765,1e-05,1600,998.5267333984375,-0.006711006164550781,,
-87.82,9.04,374,18,196,73728,0.0004052788921399042,7383.23381652832,0.25297119140625,0.096850365,0.2,-2.9147248750925066,1e-05,1700,2771.16748046875,-0.01305234432220459,,
,,,,,75000,-0.003604396668379195,3613.201683654785,0.16872314453125,0.031379506,0.2,-2.9627104556560515,1e-05,1800,1632.6683349609375,0.06455379724502563,1.0,-105.0
-84.0,7.18,397,19,195,77824,,,,,,,,,,,,
-89.89,7.83,418,20,195,81920,0.0155551619407197,2148.6755642700195,0.252216796875,0.034771185,0.2,-3.0223190712928774,1e-05,1900,1025.0240478515625,0.11589455604553223,,
-92.75,11.22,440,21,195,86016,0.019252406512678136,2478.1142018127443,0.21854736328125,0.04037074,0.2,-3.0119789999723436,1e-05,2000,1227.322265625,0.1482037901878357,,
-95.91,6.66,463,22,194,90112,0.0020554984126647468,8223.20940673828,0.3884033203125,0.081347704,0.2,-2.935691056251526,1e-05,2100,3092.458251953125,0.05934339761734009,,
-102.0,9.2,485,23,194,94208,0.02912120316817891,1623.8923372650147,0.27574951171875,0.085266955,0.2,-2.9233466932177543,1e-05,2200,794.0468139648438,-0.2612820863723755,,
-80.64,7.05,507,24,193,98304,-0.0020090812515991276,5350.010097351074,0.20976806640625,0.047728308,0.2,-2.9212959361076356,1e-05,2300,1788.5003662109375,0.08860063552856445,,
-96.31,8.78,529,25,193,102400,0.010747151224204572,2188.7437408447267,0.2282421875,0.036414243,0.2,-3.01987466186285,1e-05,2400,1017.20703125,0.06214183568954468,,
-90.08,6.83,550,26,193,106496,0.01385530649600696,4243.168481445313,0.169072265625,0.063440174,0.2,-2.945685355067253,1e-05,2500,1747.0482177734375,0.0073860883712768555,,
-80.36,8.71,572,27,193,110592,0.005335951556771761,2079.8495140075684,0.26364013671875,0.030164823,0.2,-2.945341520011425,1e-05,2600,863.3306274414062,0.13640785217285156,,
-94.61,4.51,595,28,192,114688,0.00650113384173892,6499.189754638672,0.37248046875,0.09235919,0.2,-2.8160143968462945,1e-05,2700,2415.671630859375,0.17707222700119019,,
-86.81,5.69,617,29,192,118784,-0.0018357338053465355,1598.8090699768065,0.36448974609375,0.04548437,0.2,-2.864091702401638,1e-05,2800,831.3641967773438,-0.0022336244583129883,,
-88.38,5.98,639,30,192,122880,0.0013599037668609525,2703.1830560302733,0.0998388671875,0.025091585,0.2,-2.8356472134590147,1e-05,2900,921.4191284179688,0.19640493392944336,,
-89.84,8.17,660,31,192,126976,-0.00545637770119356,1988.5520307922363,0.26552734375,0.025218267,0.2,-2.8896932598948477,1e-05,3000,1008.7149047851562,0.044281184673309326,,
-85.07,7.36,682,32,192,131072,0.015129960603371729,4049.4354315185547,0.185263671875,0.04365381,0.2,-2.9373385009169577,1e-05,3100,1362.3023681640625,0.10786962509155273,,
-98.99,9.01,703,33,192,135168,0.0057827835685748145,5373.175852050781,0.20908935546875,0.051651917,0.2,-2.8381631180644034,1e-05,3200,1548.681640625,0.34106945991516113,,
-148.92,8.08,725,34,191,139264,0.01693445759039605,11763.356888427734,0.18679443359375,0.034432128,0.2,-2.768399981558323,1e-05,3300,4069.893310546875,0.5649708807468414,,
-95.69,4.09,747,35,191,143360,0.00026839418183953966,14435.292391967774,0.31028564453125,0.08453885,0.2,-2.6405941835045814,1e-05,3400,5291.51318359375,0.6536971032619476,,
-90.16,4.95,769,36,191,147456,-0.0033747467704233714,1476.0388120269774,0.33568115234375,0.030512298,0.2,-2.6981253364682196,1e-05,3500,580.7899780273438,-1.7891147136688232,,
,,,,,150000,-0.005551361580146476,1752.5007452392579,0.2791796875,0.030372098,0.2,-2.7815704575181006,1e-05,3600,724.1055297851562,0.11535954475402832,1.0,-105.0
-92.36,6.7,791,37,191,151552,,,,,,,,,,,,
-88.66,7.72,813,38,191,155648,-0.003614118908226374,2128.669977722168,0.26291015625,0.023017801,0.2,-2.822952741086483,1e-05,3700,795.004638671875,0.13377881050109863,,
-98.71,8.05,835,39,191,159744,0.0007920257368823514,1916.1511422729493,0.3113623046875,0.034633964,0.2,-2.8382971799373626,1e-05,3800,839.2394409179688,0.1423361897468567,,
-192.37,9.31,857,40,191,163840,0.009469464863359462,7221.08522064209,0.2592333984375,0.040322818,0.2,-2.7527555510401727,1e-05,3900,2307.861572265625,0.2296580672264099,,
-324.23,11.31,879,41,191,167936,0.03070909697096795,15627.75146484375,0.20142822265625,0.052887462,0.2,-2.7251620802283285,1e-05,4000,4362.5869140625,0.5882220268249512,,
-357.57,10.21,900,42,190,172032,0.045684164739213884,30638.92804199219,0.24366455078125,0.075028,0.2,-2.6240462136268614,1e-05,4100,11589.447265625,0.7103541195392609,,
-144.07,3.51,922,43,190,176128,0.006442886774166255,34892.104431152344,0.289970703125,0.06468251,0.2,-2.5412997847795484,1e-05,4200,15240.4658203125,0.6835258901119232,,
-146.94,3.47,945,44,190,180224,-0.014109839185839518,58482.47295898438,0.3553857421875,0.058894437,0.2,-2.2869353231787684,1e-05,4300,23212.54296875,0.6159572303295135,,
-102.07,1.54,968,45,190,184320,0.0023714891348208767,42433.05949707031,0.4066162109375,0.06213999,0.2,-1.772928042858839,1e-05,4400,16001.580078125,0.6546079218387604,,
-102.3,1.45,991,46,190,188416,0.0038469579283264468,13434.835561523438,0.1742626953125,0.03540881,0.2,-1.4777983705699445,1e-05,4500,5270.50732421875,0.792528435587883,,
-101.49,1.53,1014,47,189,192512,-0.0024542191474029094,3845.3346733093263,0.11153564453125,0.02234637,0.2,-1.4320723609626294,1e-05,4600,1366.336669921875,0.8623883426189423,,
-102.28,1.61,1036,48,189,196608,0.0004939266393193976,2379.6904991531374,0.29353759765625,0.04462847,0.2,-1.7300356622040272,1e-05,4700,925.3175659179688,0.7467211186885834,,
-98.71,2.4,1059,49,189,200704,-0.013301828090043273,2139.225227470398,0.45440673828125,0.06446276,0.2,-1.9802941799163818,1e-05,4800,291.6835021972656,0.8261592090129852,,
-91.07,2.78,1081,50,189,204800,-0.012841550880111754,847.0650772476197,0.608671875,0.036433183,0.2,-2.171132805049419,1e-05,4900,330.4462585449219,0.6936634480953217,,
-88.97,3.94,1103,51,189,208896,-0.022721746890747452,1508.1389768981933,0.5873095703125,0.027800096,0.2,-2.2639511522650717,1e-05,5000,862.4388427734375,0.6488091051578522,,
-89.18,4.8,1125,52,189,212992,-0.016371424131211825,1068.475955657959,0.405498046875,0.021469548,0.2,-2.271343494653702,1e-05,5100,431.4930725097656,0.04447674751281738,,
-88.58,6.26,1147,53,189,217088,-0.014139043843897525,2089.272554016113,0.37875244140625,0.022314526,0.2,-2.3375131925940513,1e-05,5200,909.2367553710938,0.08390581607818604,,
-91.04,8.27,1168,54,189,221184,-0.00716854244179558,2691.166557159424,0.2685888671875,0.03025977,0.2,-2.3028222420811653,1e-05,5300,1213.1397705078125,0.38492947816848755,,
,,,,,225000,-0.007349411423201673,3466.5042184448243,0.17373291015625,0.044222005,0.2,-2.284800024330616,1e-05,5400,967.1250610351562,0.31278908252716064,31.0,-1255.0
-179.87,10.22,1192,55,188,225280,,,,,,,,,,,,
-253.82,11.18,1213,56,188,229376,0.02849586832089699,11005.150259399414,0.2416552734375,0.059215505,0.2,-2.1903104564547538,1e-05,5500,2466.927001953125,0.4022133946418762,,
-276.56,10.76,1235,57,188,233472,0.04008577901739045,18123.70951538086,0.2148876953125,0.051536955,0.2,-2.1212612143158913,1e-05,5600,6170.05908203125,0.6806886494159698,,
-359.01,10.96,1256,58,189,237568,0.0319025169336237,25683.430686035157,0.31053955078125,0.035999175,0.2,-2.047275385260582,1e-05,5700,9316.51953125,0.7413770258426666,,
-100.14,5.31,1278,59,189,241664,-0.0015224997102632188,29674.273830566406,0.2761962890625,0.06257287,0.2,-2.001920394152403,1e-05,5800,11307.7001953125,0.7509945780038834,,
-108.82,4.37,1300,60,188,245760,0.011822016111691482,35160.073310546875,0.2234765625,0.06354165,0.2,-1.774961940795183,1e-05,5900,11667.7939453125,0.021920621395111084,,
-93.13,5.58,1322,61,188,249856,-0.008276110766746569,3994.6456857299804,0.1390087890625,0.016931754,0.2,-1.7192544078826903,1e-05,6000,1112.7911376953125,0.23305416107177734,,
-88.08,5.11,1344,62,188,253952,-0.007518382464768365,1337.0068506622315,0.10323486328125,0.008623667,0.2,-1.7432405191659928,1e-05,6100,509.4034729003906,-0.5510437488555908,,
-93.09,5.49,1365,63,188,258048,-0.00977486423915252,1346.1697462463378,0.215458984375,0.014304425,0.2,-1.757787551879883,1e-05,6200,652.4671020507812,0.058548688888549805,,
-89.68,6.6,1387,64,188,262144,-0.005219534944117186,1141.5588640594483,0.14254150390625,0.011047082,0.2,-1.7679803992807865,1e-05,6300,485.21356201171875,0.08257114887237549,,
-81.88,8.78,1408,65,188,266240,-0.010023860964574851,1237.8851068878173,0.23406494140625,0.017681293,0.2,-1.8289932958781718,1e-05,6400,491.5748596191406,0.1441105604171753,,
-95.02,8.7,1430,66,188,270336,-0.007570713409804739,1524.1394078063965,0.10545654296875,0.01151092,0.2,-1.8405110983550548,1e-05,6500,706.1162719726562,0.11556082963943481,,
-85.33,9.32,1452,67,188,274432,-0.00701532806357136,1215.8086251831055,0.1669921875,0.009946297,0.2,-1.8638189880549907,1e-05,6600,438.65771484375,0.21460163593292236,,
-81.78,7.65,1473,68,188,278528,-0.00779581636772491,4768.061076965332,0.19474365234375,0.04409256,0.2,-1.8018738980591298,1e-05,6700,1339.0809326171875,0.08432841300964355,,
-84.12,6.39,1495,69,188,282624,-0.011401286345062545,2373.091264038086,0.1182421875,0.02126538,0.2,-1.8254267953336238,1e-05,6800,989.1138305664062,0.09775114059448242,,
-85.41,7.85,1517,70,188,286720,-0.01136565914392122,3643.8536698913576,0.096201171875,0.012863197,0.2,-1.8444220013916492,1e-05,6900,1710.022216796875,0.017349600791931152,,
-91.64,7.47,1539,71,188,290816,-0.004440016135049518,1968.8200160217284,0.11238525390625,0.009370489,0.2,-1.8583491316437721,1e-05,7000,884.5293579101562,0.1179092526435852,,
-93.05,8.52,1560,72,188,294912,-0.007122283905337099,3657.622121887207,0.08384521484375,0.010287441,0.2,-1.8762883728742599,1e-05,7100,1383.4957275390625,-0.13779711723327637,,
-91.08,6.73,1582,73,188,299008,-0.007222489905689145,2075.0625151062013,0.1477685546875,0.011912523,0.2,-1.9186810971796513,1e-05,7200,899.8705444335938,-0.012631416320800781,,
,,,,,300000,-0.01046247835358372,4931.781265258789,0.11124267578125,0.046028282,0.2,-1.8582345706224441,1e-05,7300,2269.134765625,-0.03272747993469238,15.98,-163.95
-94.01,5.13,1606,74,188,303104,,,,,,,,,,,,
-99.9,8.33,1627,75,188,307200,-0.004093512746912893,2701.414932861328,0.119072265625,0.011003163,0.2,-1.854931948184967,1e-05,7400,1218.0538330078125,0.07090914249420166,,
-82.5,7.36,1649,76,188,311296,-0.015777898328233276,7408.348413696289,0.09677001953125,0.010085177,0.2,-1.850409458130598,1e-05,7500,3601.049560546875,-0.04344522953033447,,
-88.17,7.16,1670,77,188,315392,-0.007654733207309619,3582.138170471191,0.04847412109375,0.016131118,0.2,-1.8175872968137263,1e-05,7600,1099.462890625,-0.21335935592651367,,
-82.03,6.56,1691,78,188,319488,-0.004283944795679418,2083.752492980957,0.0913671875,0.011155245,0.2,-1.86923458263278,1e-05,7700,957.295654296875,-0.06138598918914795,,
-88.55,8.17,1713,79,188,323584,-0.01757314366608625,4254.531190185547,0.08525390625,0.027805647,0.2,-1.8500426195561885,1e-05,7800,1263.828125,0.14756858348846436,,
-90.06,7.33,1735,80,188,327680,-0.005407653642178048,2040.110262298584,0.0770068359375,0.010527562,0.2,-1.8591531056165695,1e-05,7900,820.3703002929688,-0.029020190238952637,,
-86.92,5.77,1756,81,188,331776,-0.01792892032455711,3347.474165649414,0.0460791015625,0.049243268,0.2,-1.8224054037034512,1e-05,8000,942.2015380859375,-0.04193568229675293,,
-83.48,7.05,1778,82,188,335872,-0.0013814437252585776,2089.117194366455,0.06528076171875,0.009700927,0.2,-1.8353472881019115,1e-05,8100,1055.4556884765625,0.0103226900100708,,
-84.71,7.8,1799,83,188,339968,-0.00975205726128479,2275.499888000488,0.18888427734375,0.013976499,0.2,-1.8543222054839135,1e-05,8200,1024.0281982421875,0.03951370716094971,,
-81.85,6.13,1821,84,188,344064,-0.013165965719672386,2948.197449645996,0.10503173828125,0.021576297,0.2,-1.8298324131965638,1e-05,8300,989.4905395507812,-0.008047938346862793,,
-88.5,8.49,1843,85,188,348160,-0.0045331699000962546,2433.3492414855955,0.12728515625,0.010799638,0.2,-1.8566832581162453,1e-05,8400,1045.2855224609375,0.07882505655288696,,
-97.61,7.14,1864,86,188,352256,-0.008777079874707851,2408.9251931762697,0.16133056640625,0.013153445,0.2,-1.845840577185154,1e-05,8500,1015.5872192382812,0.06968313455581665,,
-70.41,8.85,1886,87,188,356352,-0.01521675047741155,4521.359734802246,0.09297119140625,0.0259899,0.2,-1.8644193682074546,1e-05,8600,1607.3902587890625,0.015442728996276855,,
-82.93,10.64,1908,88,188,360448,0.0005254724113910924,2482.802211303711,0.05663818359375,0.008166208,0.2,-1.8506512463092804,1e-05,8700,1306.6885986328125,0.07485181093215942,,
-84.11,8.31,1930,89,188,364544,-0.011407759042049293,3812.407626953125,0.08680908203125,0.01927906,0.2,-1.838891167342663,1e-05,8800,1592.2274169921875,-0.015570402145385742,,
-84.3,8.86,1951,90,188,368640,-0.013072870692994912,3019.804546813965,0.07443115234375,0.02357117,0.2,-1.8467108404636383,1e-05,8900,967.5174560546875,0.028190970420837402,,
-95.38,8.5,1973,91,188,372736,-0.01179345578129869,3196.8068812561037,0.04643798828125,0.01358355,0.2,-1.8473973536491395,1e-05,9000,1214.9739990234375,-0.12856817245483398,,
,,,,,375000,-0.021587641234218607,4997.765230102539,0.0867578125,0.04204333,0.2,-1.8088983762264252,1e-05,9100,1231.185302734375,0.07647675275802612,21.2,-195.26
-80.55,8.87,1996,92,188,376832,,,,,,,,,,,,
-88.32,7.62,2018,93,188,380928,-0.00035345339201739987,2459.779390258789,0.09653564453125,0.009197256,0.2,-1.834239771962166,1e-05,9200,946.5011596679688,0.02157527208328247,,
-89.93,6.95,2040,94,188,385024,-0.011795553232004749,2388.4374877929686,0.0337744140625,0.02011846,0.2,-1.8325205947458745,1e-05,9300,747.7245483398438,-0.05623972415924072,,
-83.97,9.02,2061,95,188,389120,-0.004467346766978153,2045.7736846923829,0.069775390625,0.0091274455,0.2,-1.8263145749270917,1e-05,9400,805.9556274414062,0.06319713592529297,,
-108.85,9.45,2084,96,188,393216,-0.011613489279843634,3093.668882751465,0.05214111328125,0.020779513,0.2,-1.8284347878396512,1e-05,9500,1073.5545654296875,0.06034892797470093,,
-74.23,8.73,2107,97,188,397312,-0.017602889129775576,4083.363341674805,0.04718994140625,0.03803201,0.2,-1.8211411990225315,1e-05,9600,1067.741455078125,-0.043721675872802734,,
-88.97,8.12,2129,98,188,401408,-0.009972508550417843,3105.807716674805,0.0609130859375,0.015970921,0.2,-1.8441949573159218,1e-05,9700,896.7227783203125,-0.07002913951873779,,
-97.12,8.11,2152,99,188,405504,-0.010297408759361132,3283.086845550537,0.07406005859375,0.018731643,0.2,-1.8285044944286346,1e-05,9800,1148.8660888671875,0.007315695285797119,,
-79.92,9.07,2175,100,188,409600,-0.015489554594096263,4015.217929840088,0.0701611328125,0.027883062,0.2,-1.8044782474637031,1e-05,9900,1174.071044921875,0.03008359670639038,,
-73.07,8.44,2197,101,188,413696,3.0611609836341814e-05,2389.4755494689944,0.0874609375,0.009084896,0.2,-1.8013291431963443,1e-05,10000,959.38818359375,0.0637274980545044,,
-91.41,9.73,2220,102,188,417792,-0.0048489154342678375,2075.8927029418946,0.11283935546875,0.009318661,0.2,-1.812370071709156,1e-05,10100,809.909423828125,-0.027028441429138184,,
-80.86,6.7,2243,103,188,421888,-0.007461507080151932,2165.056941986084,0.08476318359375,0.011123171,0.2,-1.8242954309284687,1e-05,10200,941.4888916015625,0.15463238954544067,,
-75.9,9.65,2265,104,187,425984,-0.004765509573408053,2503.3566384887695,0.0784033203125,0.008638952,0.2,-1.831135534644127,1e-05,10300,1068.5491943359375,0.1105756163597107,,
-81.39,9.2,2289,105,187,430080,-0.0010616369769559243,2495.498681945801,0.0200830078125,0.007539126,0.2,-1.8240781083703042,1e-05,10400,1005.9048461914062,0.10139739513397217,,
-107.79,14.09,2312,106,187,434176,-0.004529660444968613,2113.2721054077147,0.11123046875,0.009247445,0.2,-1.7998302721977233,1e-05,10500,829.312744140625,0.17183798551559448,,
-88.92,8.25,2335,107,187,438272,-0.026852794221485964,7194.595772399903,0.1551123046875,0.034065075,0.2,-1.7933085906505584,1e-05,10600,1727.76318359375,0.011342108249664307,,
-78.29,7.42,2358,108,187,442368,-0.012800013679079712,3709.8270516967773,0.14337158203125,0.015799547,0.2,-1.8236945125460624,1e-05,10700,1228.58740234375,-0.03575396537780762,,
-90.4,10.0,2381,109,187,446464,-0.004022656184533843,2140.6317070007326,0.13134033203125,0.014863317,0.2,-1.8375998465716838,1e-05,10800,840.5357055664062,0.15217608213424683,,
,,,,,450000,-0.015949821257963778,3906.428331298828,0.03199462890625,0.013846292,0.2,-1.8348891325294971,1e-05,10900,1166.81689453125,0.0701175332069397,29.38,-679.94
-87.63,8.14,2406,110,187,450560,,,,,,,,,,,,
-91.66,9.37,2429,111,187,454656,-0.012015238674794091,3192.8157841491698,0.0566796875,0.016174488,0.2,-1.837327127456665,1e-05,11000,1139.8922119140625,0.05551844835281372,,
-99.78,9.04,2452,112,187,458752,-0.01037161938875215,3398.3017443847657,0.0377880859375,0.015228398,0.2,-1.8288999535143375,1e-05,11100,983.3657836914062,0.09481233358383179,,
-78.91,8.21,2475,113,186,462848,-0.010529234738569357,2991.3233267211913,0.03939453125,0.014986685,0.2,-1.8046052180230618,1e-05,11200,874.827392578125,-0.08444714546203613,,
