#{"t_start": 1642059931.976555, "env_id": null}
r,l,t
0,50,22.899735
0,54,22.951734
0,54,23.015735
0,38,23.057736
0,44,23.109735
0,52,23.158735
0,46,23.206736
0,47,23.270277
0,48,23.32108
0,54,23.378079
0,51,23.440642
0,54,23.494642
0,54,23.552642
0,44,23.597643
0,43,23.640488
0,46,23.687489
0,54,23.74349
0,54,23.799109
20,59,23.860107
0,46,23.907108
30,59,23.973108
0,47,24.02011
0,54,24.073108
0,48,24.120108
0,47,24.172108
0,49,24.221108
0,45,24.273109
0,48,24.322108
0,48,24.375108
0,53,24.426109
0,54,24.494109
20,63,24.562108
0,49,24.612108
0,48,24.655107
20,63,24.719107
0,54,24.773108
0,45,24.819107
0,54,24.874109
0,51,24.927108
0,54,24.982108
0,46,25.039108
0,54,25.089665
0,54,25.140666
20,50,25.192666
0,47,25.242666
0,47,25.295413
0,54,25.348046
0,50,25.414045
0,52,25.475046
0,54,25.533046
0,54,25.589045
0,48,25.637046
0,51,25.699047
0,48,25.748046
0,46,25.797046
0,54,25.854046
0,54,25.911047
0,54,25.964046
0,54,26.016046
0,48,26.074048
0,53,26.132047
0,50,26.21105
10,63,26.277049
0,51,26.324046
0,49,26.376046
0,54,26.438046
0,50,26.495046
0,54,26.555046
0,44,26.60005
10,63,26.665046
0,54,26.731046
0,54,26.785046
0,39,26.829045
0,51,26.880046
0,54,26.933046
0,49,26.980046
0,50,27.040051
0,54,27.098046
0,54,27.152046
0,40,27.192045
0,38,27.235047
0,45,27.291045
0,54,27.348603
20,63,27.420724
0,47,27.470724
0,48,27.519724
20,62,27.581724
0,52,27.632725
20,63,27.697725
0,54,27.744725
0,54,27.800725
0,43,27.844724
10,58,27.923726
0,54,27.977729
0,46,28.025725
0,45,28.071725
20,58,28.137725
0,51,28.188724
0,54,28.236724
0,54,28.289725
0,54,28.355725
0,54,28.425724
20,62,28.495726
0,54,28.547724
0,54,28.606724
0,54,28.661726
0,40,28.703724
0,39,28.743292
0,54,28.850292
10,53,28.916292
0,49,28.993292
0,48,29.052293
0,45,29.146292
0,48,29.201294
20,63,29.289292
30,58,29.358292
0,46,29.454616
0,49,29.525616
20,56,29.591616
0,54,29.669616
0,54,29.730617
0,48,29.782616
30,60,29.874616
0,54,29.927616
20,63,30.022618
0,45,30.102173
20,60,30.170173
0,54,30.251172
0,44,30.303174
20,63,30.367173
20,63,30.467174
20,63,30.537174
0,51,30.608175
0,51,30.666172
0,54,30.741172
0,47,30.791174
0,46,30.868173
0,54,30.926174
0,53,31.009173
10,51,31.084173
20,63,31.170173
0,48,31.228173
0,52,31.295173
0,54,31.366173
0,47,31.425783
0,54,31.509455
0,50,31.565457
0,47,31.617455
0,54,31.700456
0,46,31.749455
0,44,31.807455
0,54,31.878455
0,54,31.952457
0,54,32.005455
0,52,32.089455
20,60,32.173456
0,48,32.242455
0,54,32.295455
0,54,32.375455
0,52,32.456456
20,59,32.527455
0,42,32.597455
0,46,32.646455
0,48,32.716455
10,63,32.793456
0,47,32.841455
0,54,32.907025
0,52,32.981977
0,54,33.083979
0,53,33.139979
0,50,33.202978
0,54,33.272978
0,53,33.344977
0,52,33.427976
0,53,33.483158
0,47,33.537155
0,48,33.602156
0,40,33.672901
0,48,33.722901
0,54,33.791565
0,45,33.866566
0,51,33.940565
0,48,34.006566
0,54,34.074565
0,54,34.155565
0,54,34.222565
10,63,34.309565
0,47,34.352566
0,47,34.451564
0,41,34.496565
0,50,34.547565
0,49,34.629565
20,58,34.741566
0,49,34.793565
0,54,34.873565
0,50,34.930565
0,51,35.036565
0,53,35.096123
30,63,35.163124
0,49,35.227125
30,63,35.310123
0,46,35.362125
0,46,35.443124
20,58,35.521831
0,54,35.590829
10,63,35.663831
0,52,35.735831
10,62,35.811832
0,48,35.885831
0,49,35.947831
0,54,36.026831
0,53,36.108831
0,54,36.17283
0,54,36.223831
0,54,36.27983
0,54,36.332831
0,54,36.38983
0,46,36.461831
0,41,36.50483
50,52,36.55883
10,63,36.62883
0,54,36.681831
0,54,36.73483
0,53,36.790831
0,54,36.84883
0,51,36.898832
30,63,36.962831
0,50,37.01183
0,54,37.074831
0,54,37.13083
20,61,37.194831
0,54,37.246832
20,63,37.31883
0,54,37.37183
0,47,37.432831
0,48,37.480829
0,42,37.528563
10,63,37.593085
0,54,37.648085
0,54,37.702085
20,59,37.766085
0,54,37.826085
0,48,37.875085
0,54,37.933085
20,63,37.998085
0,54,38.050085
0,54,38.103085
0,46,38.145085
0,48,38.196087
0,39,38.236085
0,48,38.285086
0,54,38.337085
0,54,38.408085
10,56,38.469085
0,54,38.521086
30,44,38.566085
0,50,38.637654
0,46,38.703655
0,54,38.76922
20,63,38.857222
0,54,38.924219
0,54,39.00722
0,50,39.071221
0,50,39.12522
0,54,39.204221
50,63,39.28822
0,54,39.35722
10,60,39.41722
0,42,39.472221
0,54,39.530221
0,42,39.60252
0,47,39.64952
0,46,39.72252
0,54,39.78652
0,50,39.856521
0,54,39.92252
0,54,40.01052
0,51,40.078165
0,54,40.151164
0,42,40.197165
0,54,40.297164
0,40,40.341165
0,53,40.393164
0,50,40.467164
20,60,40.575164
0,47,40.638164
0,54,40.694164
0,50,40.773165
0,54,40.844165
0,40,40.896165
0,54,40.974164
20,57,41.040164
0,46,41.114164
20,60,41.194164
0,54,41.252164
0,54,41.318168
0,51,41.395164
0,51,41.446166
0,54,41.504165
0,46,41.554166
0,49,41.635498
0,54,41.726498
0,51,41.787498
0,54,41.84651
0,54,41.936506
0,54,42.010499
0,54,42.108497
0,54,42.171498
0,46,42.242497
0,50,42.303499
20,63,42.388498
0,49,42.472497
20,63,42.554497
0,51,42.627498
0,54,42.686498
10,63,42.778498
0,54,42.882498
10,49,42.937497
0,46,43.004499
0,54,43.082497
0,48,43.160498
0,49,43.219498
0,52,43.341498
0,42,43.412497
0,54,43.492498
0,47,43.553498
10,63,43.639306
0,54,43.707654
0,54,43.782309
0,47,43.829308
20,59,43.921309
0,53,43.979309
20,59,44.084309
0,51,44.136309
0,54,44.205309
0,54,44.281309
0,54,44.361309
0,46,44.426308
0,54,44.504309
0,46,44.553309
20,61,44.654309
0,54,44.70931
0,46,44.779309
0,48,44.83531
0,46,44.90631
0,46,44.966309
0,54,45.03131
0,48,45.090933
0,51,45.169934
0,54,45.245933
0,49,45.305935
0,53,45.376933
0,54,45.449933
0,45,45.518933
0,49,45.574933
0,53,45.652544
0,43,45.735631
0,51,45.797632
10,59,45.887631
0,54,45.963631
40,62,46.055633
0,53,46.133631
0,54,46.191632
0,54,46.245631
0,54,46.301632
0,54,46.355632
0,54,46.417635
0,53,46.472632
0,54,46.530631
30,55,46.586633
0,54,46.640634
0,51,46.691633
0,54,46.751631
0,51,46.801632
0,51,46.855631
0,54,46.909633
0,54,46.972633
20,63,47.037632
0,54,47.089631
0,54,47.144631
0,52,47.204631
0,54,47.259631
0,48,47.308632
